pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
0.1945726,-0.1719235,0.5616639,0.06418788,0.03342655,0.642221,-0.002467796,0.05497222,0.6491888,-0.1312103,-0.02981789,0.6366249,-0.06691571,0.03174506,0.6516621,OPEN
0.1948282,-0.1726646,0.5628532,0.06418277,0.03308592,0.6419935,-0.002460846,0.05476536,0.6487117,-0.131529,-0.03009055,0.6362435,-0.06696143,0.03157299,0.6512166,OPEN
0.1948047,-0.1729937,0.5628507,0.06409994,0.03282513,0.6418862,-0.002554267,0.05455162,0.6485758,-0.1317177,-0.03031915,0.6362086,-0.06710784,0.03135627,0.6511282,OPEN
0.1951004,-0.1733686,0.5624424,0.0645475,0.03261905,0.6416245,-0.002153197,0.0544432,0.6481984,-0.1314477,-0.03046159,0.6361091,-0.06682494,0.03125285,0.6508144,OPEN
0.1970766,-0.175383,0.5664427,0.06503751,0.03249183,0.6406091,-0.001585512,0.05441343,0.6469599,-0.1308708,-0.03027901,0.6347318,-0.06715212,0.03121597,0.6491297,OPEN
0.1979087,-0.1765177,0.5678817,0.06532957,0.03222586,0.6401612,-0.00123553,0.05421259,0.6464744,-0.1306178,-0.03035661,0.6343216,-0.06715945,0.03102923,0.6485715,OPEN
0.1987006,-0.1778364,0.5709034,0.06486745,0.03180219,0.6387399,-0.001246648,0.05383031,0.6446173,-0.1303451,-0.03055138,0.632383,-0.06681489,0.03083402,0.646465,OPEN
0.1982788,-0.1782961,0.5703288,0.06459455,0.03102837,0.637983,-0.001053688,0.05322285,0.6435949,-0.1300391,-0.03085942,0.6318446,-0.0662824,0.03040693,0.6456681,OPEN
0.1978307,-0.1782427,0.5690479,0.06450981,0.03070965,0.6379589,-0.001012389,0.05297298,0.6435418,-0.1299181,-0.03097136,0.6320421,-0.06613465,0.03020347,0.6457824,OPEN
0.1973186,-0.1780439,0.566882,0.06462908,0.03048771,0.6378651,-0.0009490777,0.05280339,0.6435145,-0.1298539,-0.03112416,0.6322461,-0.06608517,0.03002624,0.6459059,OPEN
0.1973358,-0.1778265,0.5665756,0.0647833,0.03067257,0.6372724,-0.0008872157,0.0529779,0.6430342,-0.1299783,-0.03122026,0.6321653,-0.06608866,0.03013292,0.6455787,OPEN
0.1976063,-0.1779396,0.56665,0.06507288,0.03075106,0.6368407,-0.0006505316,0.05300276,0.6429275,-0.1299425,-0.03128834,0.6321788,-0.06592162,0.03014102,0.6455495,OPEN
0.1979901,-0.1781844,0.5669004,0.06552542,0.03091114,0.6364391,-0.0002961542,0.0531302,0.6429862,-0.1298607,-0.03119679,0.6324374,-0.06564214,0.03028633,0.6457226,OPEN
0.1978159,-0.178095,0.5667048,0.06526507,0.03118095,0.636387,-0.0006777336,0.05334642,0.6431981,-0.1304046,-0.03110649,0.6326273,-0.06612832,0.03045803,0.6459441,OPEN
0.1962813,-0.176846,0.5656513,0.06400613,0.03168443,0.6371061,-0.002076151,0.05401165,0.6432191,-0.1320664,-0.03098055,0.6332517,-0.06764031,0.03096415,0.6460137,OPEN
0.1940513,-0.1748132,0.5617793,0.06281035,0.03224061,0.6377968,-0.003441902,0.05455436,0.6439615,-0.1331527,-0.03082338,0.6349339,-0.06891199,0.03130814,0.6470959,OPEN
0.1917579,-0.1724573,0.5574195,0.06195618,0.03278727,0.6386796,-0.004571262,0.0550867,0.6447644,-0.1337802,-0.0306034,0.6361887,-0.06988006,0.03164713,0.648038,OPEN
0.1893372,-0.1696913,0.5512267,0.0618508,0.0332514,0.6401563,-0.005012149,0.05544138,0.6468006,-0.1339804,-0.03047678,0.6384066,-0.07039087,0.03173273,0.6505213,OPEN
0.1871987,-0.1663709,0.5458997,0.06231537,0.03452251,0.6417436,-0.004892488,0.05664132,0.6484522,-0.1335385,-0.02952239,0.6395541,-0.07028898,0.03269542,0.6522964,OPEN
0.1871803,-0.1654479,0.5454721,0.06274793,0.03489179,0.6425853,-0.004358292,0.0570708,0.6488815,-0.1328572,-0.02893646,0.6392489,-0.06963167,0.03316989,0.6524748,OPEN
0.1883639,-0.1663047,0.5471761,0.06332513,0.0350762,0.6430781,-0.003817789,0.05735988,0.6488719,-0.1328453,-0.02858301,0.6384969,-0.069362,0.0335691,0.6519864,OPEN
0.1899304,-0.167706,0.5500571,0.06361862,0.03551082,0.6424518,-0.003783085,0.05777811,0.6482599,-0.1333318,-0.02853202,0.6385901,-0.06966117,0.03393698,0.6513143,OPEN
0.1901194,-0.1682489,0.5505984,0.06365294,0.03544867,0.6419219,-0.003830679,0.05766843,0.6480414,-0.1336777,-0.02875435,0.638714,-0.06985153,0.03383041,0.651068,OPEN
0.1897023,-0.1681577,0.5501308,0.0634407,0.03547911,0.6417276,-0.004141819,0.05768301,0.6479546,-0.1339696,-0.0288567,0.6390395,-0.07017796,0.03380474,0.6510686,OPEN
0.189421,-0.1682555,0.5497679,0.063325,0.03542741,0.6414487,-0.004337322,0.05764785,0.6477201,-0.1341931,-0.02894633,0.6389927,-0.0703883,0.03376431,0.6508783,OPEN
0.1886999,-0.1674396,0.5483909,0.06277869,0.03534706,0.6415874,-0.004707763,0.05751261,0.6478944,-0.1341754,-0.02908624,0.6391645,-0.07043713,0.03357241,0.6513453,OPEN
0.1883741,-0.1666405,0.5475398,0.06245782,0.03536667,0.6418008,-0.004714919,0.05755549,0.6478357,-0.1337723,-0.02897938,0.6387716,-0.07013494,0.03359397,0.6514252,OPEN
0.1899579,-0.1684277,0.5515246,0.06265645,0.03491208,0.6405067,-0.004111037,0.05717947,0.6457773,-0.1331073,-0.02907671,0.636174,-0.06933368,0.03348832,0.6487536,OPEN
0.1928274,-0.1704468,0.5579598,0.06284659,0.03470792,0.6385586,-0.003289811,0.05674169,0.6443748,-0.1325581,-0.02927707,0.6342735,-0.06836437,0.03327475,0.6469952,OPEN
0.1944187,-0.171967,0.5620373,0.06286241,0.03447972,0.6374068,-0.002975391,0.05644265,0.6436589,-0.1326821,-0.02952881,0.6338462,-0.06814385,0.03305914,0.6464572,OPEN
0.1939578,-0.172195,0.5622607,0.062504,0.03415749,0.6372783,-0.003325799,0.05614523,0.6437016,-0.1330938,-0.02973888,0.6342843,-0.06847762,0.03279562,0.6467326,OPEN
0.1926977,-0.1704438,0.5598888,0.06275069,0.03423209,0.6392146,-0.004225334,0.05627118,0.6450912,-0.1342511,-0.03008054,0.6350362,-0.07029802,0.03256601,0.6477038,OPEN
0.1931195,-0.1705498,0.5595359,0.06376053,0.03428655,0.6395035,-0.00380266,0.05638899,0.6450679,-0.1342328,-0.03022485,0.6346595,-0.07042937,0.0325692,0.6473633,OPEN
0.1981727,-0.1757233,0.5657088,0.06752677,0.03230572,0.6374205,0.0003264146,0.05477589,0.6430522,-0.1319221,-0.0310455,0.6318252,-0.06707836,0.0314722,0.6451008,OPEN
0.1988513,-0.176673,0.565274,0.0679942,0.0325713,0.6369146,0.0006272584,0.05509694,0.6431612,-0.1322067,-0.03082981,0.6324273,-0.06702416,0.03179906,0.6454842,OPEN
0.1993799,-0.1777805,0.5645314,0.06875031,0.03324427,0.6360712,0.0009119557,0.0559947,0.6427381,-0.1325268,-0.03017894,0.6331718,-0.06688196,0.03272953,0.6455042,OPEN
0.198585,-0.1775444,0.5628458,0.06804734,0.03402732,0.6356935,-0.000312689,0.05682227,0.6422942,-0.1336636,-0.02992635,0.6337672,-0.06800394,0.03337749,0.6454275,OPEN
0.1969254,-0.1761467,0.5604626,0.06667677,0.03461805,0.6355908,-0.002089544,0.05729012,0.6416553,-0.1347569,-0.03009022,0.6336232,-0.06958197,0.03355435,0.6448506,OPEN
0.1949452,-0.1739318,0.5574273,0.0657798,0.03530977,0.6361431,-0.003328856,0.05789886,0.6417946,-0.1354475,-0.02990526,0.6338124,-0.07064232,0.03394567,0.6448957,OPEN
0.1935824,-0.1724322,0.5551242,0.06528787,0.03573955,0.6365072,-0.00404183,0.05825003,0.6421043,-0.1358178,-0.02979483,0.6343319,-0.07130399,0.03414249,0.6452655,OPEN
0.1933215,-0.1721004,0.5549926,0.06511729,0.03598981,0.6365328,-0.00432909,0.05848602,0.64206,-0.1360717,-0.02969407,0.6343998,-0.07165069,0.03431551,0.6452375,OPEN
