pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.7560851,-0.1298322,-0.1806069,-0.3994858,0.7475345,0.1002332,-0.1195398,0.862808,0.1857497,0.3851894,0.5797129,0.3357837,0.1248327,0.8005499,0.2584233,0.2778368,0.9358078,0.7504486,0.9113603,FIVE
-0.7551634,-0.1309929,-0.1679804,-0.4014394,0.7460601,0.1022671,-0.1244879,0.8611341,0.1870438,0.3836716,0.5794228,0.3359745,0.1222998,0.7997399,0.2594662,0.2811424,0.9369343,0.7482899,0.9110534,FIVE
-0.7517955,-0.1264233,-0.1592115,-0.4052708,0.7442029,0.09921256,-0.1290335,0.8594907,0.186112,0.3821903,0.5796056,0.3343664,0.120438,0.7989396,0.2588236,0.293171,0.9367827,0.7461861,0.9110762,FIVE
-0.7529871,-0.1330858,-0.1641424,-0.4130311,0.7426434,0.0992737,-0.1370879,0.859973,0.1879709,0.3777503,0.5855874,0.3312706,0.1148792,0.8019698,0.2577667,0.2927435,0.9366771,0.7478546,0.9122315,FIVE
-0.753748,-0.1338256,-0.1680363,-0.4147253,0.7431501,0.1003458,-0.1380522,0.8602971,0.1915093,0.3772497,0.5860438,0.3330745,0.1143687,0.8022869,0.2607193,0.2922492,0.9363316,0.748607,0.912647,FIVE
-0.7541859,-0.1321616,-0.1828487,-0.4141715,0.7451733,0.090569,-0.1346881,0.8634129,0.1841772,0.3793368,0.5884809,0.3307467,0.1163906,0.8051068,0.2555223,0.2923665,0.9349711,0.7489617,0.912464,FIVE
-0.7536846,-0.1253816,-0.1767,-0.4114293,0.7428138,0.09830021,-0.1313806,0.860359,0.1902188,0.3828281,0.585273,0.3302521,0.1181186,0.8017857,0.2591108,0.2977279,0.9347419,0.7489939,0.9118524,FIVE
-0.7541425,-0.1275587,-0.1812148,-0.41161,0.7414247,0.1044207,-0.1311995,0.8602282,0.1936601,0.3807031,0.585355,0.3326308,0.1167162,0.8016686,0.261307,0.2932025,0.9347923,0.7512807,0.9122695,FIVE
-0.7532233,-0.1298068,-0.1832523,-0.4135943,0.7413744,0.1014112,-0.1326819,0.8613993,0.1903173,0.3783598,0.5858464,0.3344712,0.114408,0.8025919,0.2601572,0.292723,0.9345472,0.7508706,0.9118561,FIVE
-0.754191,-0.1331581,-0.1785171,-0.4159698,0.7400206,0.1047605,-0.1363182,0.8608004,0.1918411,0.376478,0.5866699,0.334228,0.11176,0.8027523,0.2603127,0.2921013,0.9351484,0.7505763,0.9117791,FIVE
-0.7543241,-0.1325464,-0.1775341,-0.4146493,0.7410045,0.09782295,-0.136814,0.8625251,0.1821973,0.3756466,0.5893728,0.3283251,0.1109713,0.8046613,0.2518149,0.2934496,0.9359483,0.7501732,0.911573,FIVE
-0.7541451,-0.1310424,-0.1893301,-0.4137633,0.7419081,0.09125456,-0.1360395,0.8639681,0.1757512,0.3754613,0.5921177,0.3243752,0.1122877,0.8067379,0.245619,0.2932215,0.9358778,0.7509111,0.9122009,FIVE
-0.7541113,-0.1342427,-0.1990412,-0.4142146,0.7416207,0.08977159,-0.1361252,0.8640015,0.1756763,0.3746137,0.592452,0.3260942,0.1119819,0.8070211,0.246302,0.2883674,0.9355345,0.751304,0.9124007,FIVE
-0.7541093,-0.1342143,-0.2091666,-0.4111026,0.7431155,0.08878437,-0.1324718,0.8647925,0.1750118,0.3766256,0.5917004,0.3266791,0.1150771,0.8071633,0.2458721,0.2827629,0.9354156,0.7517703,0.9125065,FIVE
-0.7538693,-0.1340583,-0.2090495,-0.4096991,0.7430832,0.08471367,-0.1315403,0.8655446,0.1682756,0.3771955,0.5943047,0.3205192,0.1151744,0.8087733,0.2384151,0.2829764,0.9356453,0.7522788,0.9123561,FIVE
-0.7534755,-0.1296319,-0.2015425,-0.4113832,0.7394313,0.08997089,-0.1337941,0.86315,0.1701698,0.3750345,0.5949097,0.3180559,0.1124202,0.8074318,0.2384907,0.2912892,0.9357678,0.7533669,0.9127136,FIVE
-0.7536506,-0.1295715,-0.1972502,-0.4133954,0.7367032,0.09812532,-0.1364023,0.8607599,0.1774564,0.3730588,0.5939656,0.3204637,0.1098156,0.8056109,0.243746,0.292937,0.9359492,0.7541712,0.9129606,FIVE
-0.7555305,-0.1368987,-0.1874078,-0.4173622,0.7355475,0.1040586,-0.140515,0.8590606,0.1850689,0.3703064,0.5947767,0.3232131,0.1064908,0.8049139,0.2500466,0.2897447,0.9360211,0.7554382,0.9137844,FIVE
-0.7551673,-0.1355105,-0.1861014,-0.4157988,0.7380865,0.0955075,-0.1387527,0.8616033,0.1764135,0.3705149,0.5980502,0.3176341,0.1081415,0.8077017,0.2420571,0.2915202,0.9360215,0.7564813,0.9143616,FIVE
-0.7551239,-0.1374015,-0.1869194,-0.4169774,0.7382099,0.09965498,-0.1402688,0.8611367,0.182688,0.3701286,0.597322,0.322383,0.1078117,0.8073588,0.2480496,0.2888816,0.9361675,0.7564981,0.914691,FIVE
-0.7542726,-0.1361712,-0.1896906,-0.4153182,0.740022,0.09291124,-0.1395045,0.8636019,0.1743589,0.3709283,0.6002716,0.3169374,0.1087982,0.8103093,0.2395807,0.2891018,0.9366301,0.7563919,0.9145237,FIVE
-0.7556403,-0.1410329,-0.1896998,-0.4164724,0.7391855,0.09726417,-0.1421449,0.8641489,0.1755265,0.3687838,0.6030324,0.3151717,0.1057523,0.8119662,0.2382212,0.2839651,0.9374247,0.7580435,0.9147375,FIVE
-0.7545051,-0.1437569,-0.1960025,-0.4169133,0.7385256,0.09583547,-0.1451779,0.8637415,0.1745613,0.3650902,0.6030663,0.3180981,0.101433,0.8117764,0.2387229,0.2802643,0.9382412,0.7577845,0.9141516,FIVE
-0.7534203,-0.1419014,-0.2035525,-0.4145095,0.7385303,0.09445439,-0.1442569,0.8633107,0.1732589,0.3639534,0.6009402,0.3212806,0.1012173,0.8106541,0.238976,0.2785326,0.9387069,0.7572255,0.9136224,FIVE
-0.7527227,-0.1395563,-0.2005477,-0.4148858,0.736476,0.09711748,-0.1452046,0.8617564,0.173904,0.3626387,0.6002195,0.321218,0.09963254,0.8092316,0.2396822,0.282225,0.9388611,0.7572498,0.9135461,FIVE
-0.7524881,-0.139316,-0.1956755,-0.4165243,0.7347631,0.1020081,-0.1463152,0.8600606,0.1790837,0.3613369,0.5995005,0.322974,0.09861717,0.8077031,0.2441278,0.2843805,0.9385864,0.7582346,0.9141836,FIVE
-0.7526574,-0.1376674,-0.1940437,-0.4161645,0.7352551,0.1028261,-0.1444917,0.8597938,0.1813648,0.361602,0.5981631,0.32503,0.1003632,0.8068135,0.2467197,0.285871,0.9380335,0.7589765,0.9147221,FIVE
-0.7520275,-0.1384243,-0.2007034,-0.4165399,0.737168,0.09627789,-0.1428452,0.8621365,0.1762801,0.3617438,0.5991688,0.3254876,0.1025679,0.8088775,0.2434616,0.2848248,0.9372254,0.7589704,0.9150217,FIVE
-0.7517474,-0.139857,-0.2000123,-0.4178742,0.735848,0.09559731,-0.1443114,0.8623047,0.1735724,0.3613995,0.6010537,0.3224339,0.1015415,0.8100263,0.2399393,0.2854049,0.937209,0.7588199,0.914921,FIVE
-0.7501914,-0.1383406,-0.2051072,-0.4167303,0.7358345,0.09468639,-0.1445231,0.8625898,0.172544,0.3608331,0.6023501,0.3214221,0.1018091,0.8109001,0.2380468,0.2847621,0.9376584,0.7595537,0.9153433,FIVE
-0.7488724,-0.1380883,-0.2161523,-0.4155497,0.7365499,0.0927918,-0.1429112,0.864902,0.1689186,0.3612226,0.6044921,0.3196009,0.1040929,0.8132625,0.2336436,0.2812804,0.9375675,0.7607114,0.9159588,FIVE
-0.7486002,-0.1368416,-0.2191511,-0.4159343,0.7349205,0.09466743,-0.1426427,0.8658181,0.1674169,0.3616839,0.6069481,0.3152338,0.1050564,0.8147601,0.2296258,0.2824232,0.9372828,0.7620629,0.916598,FIVE
-0.751497,-0.1437121,-0.2069663,-0.4221913,0.7300095,0.1122771,-0.1495329,0.8590175,0.1900309,0.359699,0.6003323,0.3295585,0.09813598,0.8082235,0.2522019,0.280474,0.9372398,0.7598385,0.9155095,FIVE
-0.7526185,-0.1457993,-0.1974952,-0.4237455,0.7296758,0.1150755,-0.1510787,0.8566003,0.1965497,0.3585231,0.5961796,0.3367162,0.09506795,0.8047386,0.2612028,0.2815417,0.937134,0.7584006,0.9145597,FIVE
-0.7530505,-0.147325,-0.1917503,-0.4239826,0.733193,0.1092429,-0.1518838,0.8574497,0.1955921,0.3577916,0.5943909,0.34009,0.09300987,0.8040082,0.2636201,0.2817712,0.9373825,0.7567469,0.9135442,FIVE
-0.7535821,-0.1469122,-0.176468,-0.4251211,0.7327864,0.1118628,-0.153358,0.8551629,0.2003259,0.3591654,0.5921975,0.3399715,0.0921761,0.8014821,0.2676738,0.286649,0.9374703,0.7551143,0.9129693,FIVE
-0.7519189,-0.1407883,-0.1843094,-0.4203649,0.7374002,0.09337997,-0.1491337,0.8591829,0.1834288,0.3626603,0.5951506,0.3315652,0.09615078,0.8054689,0.2528279,0.2902857,0.9374965,0.7532889,0.912016,FIVE
-0.7497731,-0.1343429,-0.1966433,-0.417995,0.7380213,0.08392052,-0.1475421,0.861378,0.1730096,0.3638316,0.5989363,0.3238982,0.09865527,0.8086683,0.2414471,0.2949291,0.9375679,0.7535414,0.9122902,FIVE
-0.7481796,-0.1344157,-0.2068485,-0.41978,0.7360381,0.08272263,-0.1486938,0.8597711,0.175099,0.3615298,0.5989636,0.326944,0.09623159,0.8075225,0.2452361,0.2952515,0.9367496,0.7544127,0.9126444,FIVE
-0.750764,-0.1397942,-0.2037153,-0.4202078,0.7356715,0.08863129,-0.1476873,0.8582831,0.1820395,0.3618685,0.5970069,0.3300668,0.09576573,0.8055431,0.2515817,0.2890028,0.936277,0.7554647,0.9127026,FIVE
-0.7533838,-0.1467738,-0.1963277,-0.4205871,0.7359983,0.09667577,-0.1492296,0.8573904,0.1892787,0.3616307,0.5950815,0.3331879,0.09410767,0.8038855,0.2579655,0.2808771,0.9371311,0.7553452,0.9124582,FIVE
-0.755218,-0.1476705,-0.1834954,-0.4183879,0.7378362,0.09383045,-0.1499531,0.8578681,0.1847139,0.3628989,0.5955474,0.328099,0.09375116,0.8039722,0.2536571,0.281142,0.9385527,0.753619,0.9117291,FIVE
-0.7540181,-0.1437251,-0.1728912,-0.41712,0.7388137,0.08573572,-0.1520794,0.8572139,0.1787666,0.3614312,0.5961784,0.3235275,0.09166785,0.8032023,0.2494397,0.2884009,0.9395543,0.7523431,0.9114765,FIVE
-0.7507941,-0.1331476,-0.1952848,-0.4104422,0.7398507,0.06816757,-0.1476767,0.8590803,0.1608944,0.3606863,0.5992467,0.3144816,0.09510839,0.8056147,0.2322803,0.2938638,0.9398941,0.7534072,0.9119471,FIVE
