pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.090651,0.7160708,-0.1543081,-0.3388946,0.2690231,-0.144827,-0.3910045,0.1912174,-0.1570162,-0.3749523,-0.03748374,-0.03474245,-0.3981416,0.06893229,-0.1194395,0.9918578,0.2054041,0.5961467,0.3298658,THUMB
0.087416,0.7152234,-0.1595276,-0.338805,0.2667614,-0.1462299,-0.3907667,0.1887619,-0.1574245,-0.3746252,-0.03879088,-0.03337702,-0.397603,0.0668211,-0.1190739,0.9895573,0.2057776,0.5973338,0.3308131,THUMB
0.0888445,0.714676,-0.162457,-0.3389352,0.2653671,-0.1447913,-0.3908572,0.1870182,-0.1547844,-0.3739853,-0.03983948,-0.03014093,-0.3968489,0.06509665,-0.1163255,0.993247,0.2067305,0.5988954,0.3320261,THUMB
0.09217457,0.7146504,-0.1596902,-0.3390547,0.2646111,-0.1441384,-0.3904515,0.1858786,-0.154255,-0.3732615,-0.04077339,-0.02996368,-0.3958925,0.06390753,-0.116125,1.000047,0.2072372,0.5995033,0.3325155,THUMB
0.0953263,0.7151862,-0.1543938,-0.3397871,0.2648206,-0.1433457,-0.3908,0.1859383,-0.1542855,-0.372675,-0.04128548,-0.03163314,-0.395578,0.06359449,-0.1169326,1.006591,0.2070966,0.5984133,0.3316084,THUMB
0.1031965,0.7140063,-0.1396537,-0.3335933,0.2655874,-0.1441372,-0.3861072,0.1868474,-0.1559657,-0.3729235,-0.03818234,-0.03429481,-0.3924874,0.06575236,-0.1195708,1.012057,0.2103654,0.5958661,0.330478,THUMB
0.1018352,0.7128162,-0.1422466,-0.3326762,0.2649014,-0.1445657,-0.3854683,0.1861087,-0.1560908,-0.3723478,-0.03809963,-0.03361944,-0.3919247,0.06533742,-0.1194192,1.00938,0.2111071,0.5961503,0.3308909,THUMB
0.09963612,0.7118807,-0.1510208,-0.333436,0.2660218,-0.1454986,-0.3856509,0.1872554,-0.156405,-0.3717071,-0.03778706,-0.03278269,-0.3920169,0.06595165,-0.1188357,1.002624,0.2097748,0.5985644,0.3319587,THUMB
0.09938154,0.7119414,-0.1523383,-0.3317621,0.2668816,-0.1472844,-0.3829336,0.1878728,-0.1585245,-0.3700222,-0.0375008,-0.03473487,-0.389743,0.0664955,-0.1209597,0.9978524,0.2095199,0.6013699,0.3337537,THUMB
0.09971505,0.712289,-0.1535943,-0.3308861,0.2678344,-0.1481155,-0.3815466,0.1887602,-0.1597219,-0.368687,-0.03707994,-0.03632542,-0.388234,0.06711708,-0.1225126,0.9948822,0.2092277,0.6025105,0.3346588,THUMB
0.09873627,0.7129935,-0.1510701,-0.3313361,0.2678031,-0.1459311,-0.38233,0.1885893,-0.1577629,-0.3691689,-0.03710838,-0.03536166,-0.3889675,0.06708438,-0.1210296,0.9952578,0.2100334,0.6010981,0.333698,THUMB
0.1026839,0.7122603,-0.1359726,-0.3277807,0.2683278,-0.1457813,-0.3802978,0.1894714,-0.1584558,-0.3711516,-0.03395073,-0.03654628,-0.3887947,0.06954344,-0.122205,0.9999353,0.2121267,0.596353,0.3313357,THUMB
0.1039282,0.7119223,-0.1304132,-0.3266989,0.2674685,-0.1463228,-0.3797228,0.1887405,-0.1592129,-0.3718535,-0.03367323,-0.03763991,-0.3889217,0.06947732,-0.1230652,1.003603,0.2128894,0.5942348,0.3298621,THUMB
0.1038767,0.7134305,-0.1279753,-0.3276685,0.2672384,-0.144114,-0.3810823,0.1890294,-0.1570884,-0.3729148,-0.03376897,-0.03734772,-0.3906833,0.06992638,-0.1216493,1.006046,0.2122597,0.5920634,0.3281295,THUMB
0.1008388,0.7138243,-0.1434102,-0.3317087,0.2679671,-0.1466783,-0.3855811,0.1905752,-0.1588335,-0.3757686,-0.03334574,-0.03701146,-0.3953645,0.07088327,-0.1219391,1.000796,0.2088126,0.5900146,0.3264097,THUMB
0.09907754,0.7129859,-0.1589816,-0.333198,0.2704214,-0.1485176,-0.3868769,0.1931231,-0.1600428,-0.3759174,-0.03226894,-0.03620149,-0.396421,0.07243188,-0.121991,0.990967,0.207016,0.5922532,0.3276274,THUMB
0.09877463,0.7131039,-0.1619622,-0.3346904,0.2725691,-0.1459275,-0.3884136,0.1954485,-0.1570655,-0.3755035,-0.03194618,-0.03337654,-0.3971316,0.07369921,-0.1190234,0.9883402,0.2060668,0.5950223,0.3294628,THUMB
0.09702829,0.7122428,-0.161985,-0.334361,0.270221,-0.1461631,-0.3865072,0.1921404,-0.1570437,-0.37219,-0.03485857,-0.03232984,-0.3935666,0.07007875,-0.1187755,0.9895864,0.207023,0.6000557,0.3330149,THUMB
0.09389591,0.7104723,-0.1616153,-0.3338572,0.2644042,-0.1487485,-0.3841736,0.1852921,-0.1587906,-0.3689642,-0.03913212,-0.03221206,-0.3891337,0.06361131,-0.119685,0.9946622,0.208291,0.6029704,0.3348179,THUMB
0.09701233,0.710265,-0.1439159,-0.3313906,0.2630357,-0.1477122,-0.3820965,0.183763,-0.1586958,-0.3693745,-0.03885913,-0.03389504,-0.3876957,0.06319472,-0.1206016,1.003991,0.2104824,0.5997615,0.332909,THUMB
0.09987143,0.7097607,-0.135392,-0.3298368,0.2632113,-0.1477444,-0.3808448,0.1837881,-0.1592612,-0.3700515,-0.03796266,-0.03537611,-0.3871949,0.06375587,-0.1217043,1.008465,0.21169,0.5975749,0.3314398,THUMB
0.10252,0.7092859,-0.1288146,-0.329008,0.2633455,-0.1477698,-0.3809416,0.1842146,-0.1593032,-0.3715875,-0.03670316,-0.03588466,-0.3883601,0.06488101,-0.1218107,1.0131,0.2122348,0.594465,0.3292789,THUMB
0.1024321,0.7089081,-0.1333436,-0.3280626,0.2613343,-0.1478458,-0.3804008,0.18203,-0.158724,-0.3711995,-0.03713445,-0.03461804,-0.3878888,0.06342363,-0.1209334,1.01349,0.2136509,0.5935764,0.328769,THUMB
0.1010885,0.7074156,-0.1402054,-0.3269553,0.261544,-0.149002,-0.3797725,0.1825158,-0.1591563,-0.3708105,-0.03544247,-0.03352773,-0.3874208,0.06431749,-0.1206784,1.007333,0.2136498,0.5930483,0.3288312,THUMB
0.09930782,0.707109,-0.1444121,-0.3267248,0.2592738,-0.1504409,-0.3789039,0.1800802,-0.1601887,-0.3696168,-0.03681998,-0.03388058,-0.3861618,0.06217622,-0.1213358,1.007028,0.2136844,0.5935591,0.329027,THUMB
0.09683673,0.7072718,-0.1479567,-0.3255838,0.2577309,-0.1496902,-0.3770157,0.1779149,-0.159233,-0.3676327,-0.03827594,-0.03302606,-0.3837489,0.06016717,-0.1204817,1.00356,0.2151528,0.5959987,0.3304621,THUMB
0.09663682,0.7071133,-0.1495449,-0.3254289,0.2592321,-0.1504044,-0.377028,0.1797567,-0.1602987,-0.3683224,-0.03661808,-0.03410974,-0.3843104,0.06207124,-0.1214877,0.9998185,0.214262,0.5946368,0.3296798,THUMB
0.09774967,0.7087834,-0.1432187,-0.3275097,0.2641791,-0.1498641,-0.380288,0.1858637,-0.1614023,-0.3718169,-0.03342844,-0.03717994,-0.388796,0.06750998,-0.1234342,0.9978256,0.211432,0.590363,0.3271007,THUMB
0.09870058,0.7109103,-0.1424964,-0.331111,0.2679166,-0.1462951,-0.3857816,0.1910382,-0.1586065,-0.3755809,-0.0306945,-0.03607992,-0.3949108,0.07222122,-0.121255,0.9979079,0.208854,0.5854511,0.3243344,THUMB
0.0948661,0.7096619,-0.1606594,-0.3306514,0.2693752,-0.1494861,-0.3860971,0.1927226,-0.1608084,-0.3745958,-0.02963097,-0.03489056,-0.3951848,0.07330038,-0.1222031,0.9832762,0.20838,0.5887396,0.3271627,THUMB
0.099695,0.7096148,-0.1514881,-0.3288879,0.2711241,-0.1503674,-0.3850807,0.1950009,-0.1628243,-0.3757409,-0.0273404,-0.03759133,-0.3957072,0.07608788,-0.1247401,0.9873025,0.2083665,0.5864232,0.3260037,THUMB
0.1045734,0.710824,-0.146061,-0.3269333,0.2754654,-0.1495269,-0.3832857,0.1998901,-0.1631736,-0.3750803,-0.02496475,-0.04041366,-0.3950515,0.08001522,-0.1266714,0.9854479,0.2076388,0.5878339,0.3265763,THUMB
0.1027536,0.7125401,-0.1449093,-0.3296689,0.27535,-0.1468159,-0.3867862,0.2000623,-0.1600949,-0.377113,-0.02576074,-0.03806906,-0.3986164,0.08007991,-0.1239337,0.9875033,0.207165,0.5865118,0.3258978,THUMB
0.1009372,0.7133314,-0.1455823,-0.3322068,0.2741703,-0.1447029,-0.3895579,0.1987782,-0.1574496,-0.3788991,-0.02705603,-0.03536261,-0.4009779,0.07890975,-0.1208967,0.9905038,0.2071027,0.5855219,0.3251357,THUMB
0.09907502,0.7127125,-0.144105,-0.3313645,0.2710269,-0.144991,-0.3876643,0.1947132,-0.1576536,-0.3768127,-0.0298087,-0.0352363,-0.39793,0.07512862,-0.1209249,0.992748,0.2087922,0.5876936,0.3264921,THUMB
0.09775515,0.711803,-0.1399347,-0.3292903,0.2661187,-0.1460505,-0.3840416,0.188873,-0.1586423,-0.3740432,-0.03308697,-0.035551,-0.3938919,0.07029156,-0.1215528,0.9980235,0.2107965,0.5901454,0.3278042,THUMB
0.1045916,0.7122442,-0.137256,-0.3264868,0.2712087,-0.147101,-0.3822548,0.1950416,-0.1605684,-0.3752574,-0.02833236,-0.03884704,-0.3943722,0.07626183,-0.1243174,0.9951506,0.2096331,0.5888076,0.3267546,THUMB
0.1006471,0.7114079,-0.1521459,-0.3275221,0.271385,-0.1497264,-0.382919,0.1950336,-0.1618468,-0.3744661,-0.02878,-0.03800081,-0.3942538,0.07547958,-0.1246311,0.9857707,0.2085928,0.5911202,0.3281452,THUMB
