Classifier:knn(3)

(79.55326460481099, 1)
(82.83582089552239, 1)
(90.3337169159954, 1)
(94.13813116656993, 1)
(100.0, 1)
(87.52089136490251, 1)
(91.12857944974733, 1)
(96.95402298850576, 1)
(97.74520856820745, 1)
(97.78425655976677, 1)

Classifier:knn(5)

(79.20962199312714, 1)
(81.22847301951779, 1)
(91.13924050632912, 1)
(92.97736506094022, 1)
(100.0, 1)
(87.79944289693593, 1)
(89.78102189781022, 1)
(96.66666666666667, 1)
(97.91431792559189, 1)
(97.31778425655978, 1)

Classifier:DecisionTree

(97.99541809851088, 1)
(96.95752009184845, 1)
(97.81357882623706, 1)
(98.72315728380731, 1)
(97.68421052631578, 1)
(98.71866295264624, 1)
(97.8102189781022, 1)
(97.816091954023, 1)
(98.64712514092446, 1)
(99.067055393586, 1)

Classifier:SVC_rbf

(82.9896907216495, 1)
(83.92652123995407, 1)
(91.08170310701956, 1)
(96.16947185142195, 1)
(100.0, 1)
(83.67688022284122, 1)
(94.8905109489051, 1)
(96.60919540229885, 1)
(97.51972942502819, 1)
(97.78425655976677, 1)

Classifier:SVC_linear

(89.17525773195877, 1)
(84.78760045924226, 1)
(82.33601841196779, 1)
(95.5310504933256, 1)
(98.94736842105263, 1)
(93.2033426183844, 1)
(91.74620999438517, 1)
(97.75862068965517, 1)
(98.08342728297632, 1)
(96.7930029154519, 1)

Classifier:SVC_degree_2)

(96.90721649484536, 1)
(94.4316877152698, 1)
(94.13118527042577, 1)
(99.07138711549622, 1)
(100.0, 1)
(96.71309192200556, 1)
(98.48399775407076, 1)
(98.50574712643679, 1)
(98.47801578354002, 1)
(99.067055393586, 1)
model saved!


Classifier:SVC_degree_3

(98.68270332187859, 1)	
(97.58897818599311, 1)
(96.26006904487917, 1)
(98.08473592571096, 1)
(100.0, 1)
(99.22005571030641, 1)
(98.42784952274003, 1)
(99.3103448275862, 1)
(99.6054114994363, 1)
(99.12536443148689, 1)



Classifier:SVC_degree_5

(97.99541809851088, 1)
(96.95752009184845, 1)
(95.97238204833141, 1)
(96.40162507254789, 1)
(100.0, 1)
(98.88579387186628, 1)
(96.5749578888265, 1)
(98.27586206896551, 1)
(98.92897406989853, 1)
(98.60058309037902, 1)
