pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
-0.2951272,0.05544811,0.3767725,-0.4964803,0.7184988,0.146952,-0.1229659,0.8195745,0.3844983,-0.0520278,-0.03016652,0.3486198,-0.1802013,-0.04664318,0.3316502,TWO
-0.295492,0.06343975,0.374809,-0.4271824,0.7525531,0.1957156,-0.04964209,0.8039097,0.4352216,-0.04750422,-0.05459501,0.3317,-0.1794727,-0.05528839,0.3298407,TWO
-0.3860293,0.392998,0.02265215,-0.1138321,0.793308,0.3451624,-0.3902149,0.2689934,0.4313429,-0.119172,-0.07343191,0.2866649,-0.2303002,-0.03611973,0.2354368,TWO
-0.3796372,0.4506483,-0.2247273,-0.1056725,0.7988683,0.3059383,-0.3061818,0.05908942,0.1653471,-0.1167588,-0.04665977,0.2902693,-0.2194614,-0.02038385,0.2166501,TWO
-0.3883554,0.4423813,-0.1974884,-0.108102,0.8044945,0.2936551,-0.3094407,0.06146056,0.1633182,-0.1172101,-0.04313979,0.2887086,-0.2204042,-0.01972317,0.2187886,TWO
-0.3941105,0.4367217,-0.1856298,-0.1109362,0.8073851,0.2871228,-0.3109766,0.05948516,0.1617551,-0.11869,-0.04120278,0.2860616,-0.2227904,-0.01886818,0.2175042,TWO
-0.3992148,0.4303121,-0.1791645,-0.1229998,0.8078133,0.2835255,-0.3119165,0.05375542,0.1614442,-0.1210414,-0.04182909,0.2844388,-0.2255961,-0.0205931,0.2160378,TWO
-0.4031213,0.424952,-0.1759213,-0.1350049,0.8062403,0.2830535,-0.3131331,0.04939134,0.1603456,-0.1226936,-0.04322107,0.2837881,-0.2271224,-0.02322348,0.2149051,TWO
-0.4097339,0.4228216,-0.1773479,-0.1459673,0.7997366,0.2957362,-0.3126712,0.04286774,0.1626144,-0.120979,-0.04881669,0.2845336,-0.2258364,-0.02914233,0.2160951,TWO
-0.4083188,0.4157675,-0.1704425,-0.1653097,0.7973142,0.2914375,-0.3165528,0.03860651,0.1556659,-0.1260154,-0.05002145,0.282435,-0.2296194,-0.03216704,0.211424,TWO
-0.4078573,0.38912,-0.1433697,-0.2290542,0.7840334,0.2812942,-0.3291435,0.02260759,0.1285222,-0.1444228,-0.0575401,0.2713376,-0.2432062,-0.0449621,0.1916482,TWO
-0.3979478,0.3252375,-0.1589499,-0.3544995,0.7712324,0.156446,-0.3451333,-0.002819966,0.04729154,-0.1994225,-0.05896359,0.2384786,-0.2743812,-0.05931004,0.134182,TWO
-0.4163245,0.2431493,-0.09006876,-0.3822402,0.7720469,0.05181675,-0.3589769,-0.01195073,-0.004450332,-0.2464653,-0.04765695,0.2096775,-0.3039404,-0.05469691,0.09642458,TWO
-0.3863698,0.1593615,0.0476669,-0.28392,0.802503,0.09225435,-0.3736832,0.04716262,-0.02654251,-0.2771073,-0.02346899,0.1857194,-0.3237274,-0.01766934,0.07147973,TWO
-0.3765341,0.1234406,0.1488314,-0.2580116,0.8173502,0.05831831,-0.3861311,0.2063236,0.05148499,-0.2646959,0.01306331,0.2159999,-0.329555,0.0149079,0.117343,TWO
-0.3698922,0.12326,0.1675894,-0.2980588,0.7998579,0.05602158,-0.3566382,0.4497179,0.1457742,-0.2738141,0.004560051,0.2144048,-0.3453403,0.01669538,0.1203438,TWO
-0.3828135,0.2225744,-0.04255826,-0.2653791,0.8119352,0.005745621,-0.3331328,0.5108086,0.008274822,-0.3171575,0.0008808246,0.09002231,-0.3462876,0.02276044,-0.03006842,TWO
-0.3015855,0.3158113,-0.2028048,-0.2197655,0.8255402,-0.04595004,-0.3442652,0.4099875,-0.1210687,-0.3187858,0.01376001,0.03276682,-0.3146961,0.02337064,-0.09486435,TWO
-0.2364304,0.3352889,-0.2644953,-0.173706,0.842356,-0.05010581,-0.3038515,0.330609,-0.2043086,-0.318151,0.02296329,-0.02638256,-0.2890166,0.04037195,-0.151957,TWO
-0.2329321,0.3259537,-0.2802081,-0.1660657,0.8476322,-0.04657422,-0.2846842,0.2795906,-0.2283895,-0.3207163,0.02243295,-0.03878377,-0.2851606,0.04479267,-0.1636597,TWO
-0.2380059,0.3154229,-0.2719828,-0.1526512,0.8534455,-0.01389485,-0.266506,0.2779745,-0.2359001,-0.3197424,0.02618231,-0.06389473,-0.2758467,0.05490947,-0.184472,TWO
-0.2194101,0.3013851,-0.2901363,-0.1314609,0.8607293,-0.01940421,-0.287147,0.513153,-0.1195639,-0.3093647,0.03650078,-0.1160286,-0.2505386,0.06982662,-0.2278061,TWO
-0.1937167,0.2764137,-0.3350461,-0.06941837,0.8790016,-0.04424502,-0.2849783,0.5436332,-0.1200424,-0.2960728,0.06401251,-0.1859929,-0.2287613,0.114879,-0.2898851,TWO
-0.1760036,0.2876038,-0.3406239,-0.07348289,0.8773764,-0.03215993,-0.2750804,0.5514791,-0.1326154,-0.3051732,0.09387215,-0.2166075,-0.2352655,0.1526033,-0.315594,TWO
-0.1599887,0.2949066,-0.3441899,-0.08195575,0.8742808,-0.0302779,-0.2680591,0.5570233,-0.14164,-0.3024385,0.1076803,-0.2372321,-0.2289477,0.1676896,-0.3324488,TWO
-0.1159773,0.3013866,-0.3510639,-0.07675721,0.8722163,-0.02468157,-0.2733392,0.6232174,-0.1870936,-0.2718095,0.130081,-0.2847573,-0.1874164,0.1932236,-0.3656083,TWO
-0.1148618,0.3121697,-0.3357693,-0.083307,0.8703075,0.01191921,-0.4224323,0.7797945,0.002997458,-0.269173,0.1498838,-0.2921281,-0.186471,0.219172,-0.3674908,TWO
-0.1156446,0.3131821,-0.3314242,-0.07916565,0.870459,0.01838949,-0.4321435,0.7959109,0.08338401,-0.266326,0.1517592,-0.2944035,-0.1851434,0.2235347,-0.3674444,TWO
-0.1295901,0.3127702,-0.3229505,-0.08882282,0.86888,0.03306042,-0.431632,0.7905025,0.1310798,-0.2752794,0.1562081,-0.2868061,-0.1969379,0.2307618,-0.3603708,TWO
-0.140565,0.3092123,-0.3212609,-0.0946927,0.8686542,0.03366755,-0.4356265,0.7906919,0.1192876,-0.2808176,0.1490643,-0.2795942,-0.2034193,0.2225131,-0.3561579,TWO
-0.1451249,0.3063286,-0.3235681,-0.1048553,0.8674506,0.02351994,-0.4407149,0.7892075,0.1050378,-0.2836715,0.139657,-0.2759232,-0.2054306,0.2096993,-0.3557503,TWO
-0.1537869,0.3022406,-0.3256212,-0.1075854,0.8680283,0.01683638,-0.4461351,0.7844747,0.1084424,-0.291948,0.1333389,-0.267373,-0.2162631,0.2023531,-0.3510767,TWO
-0.1630822,0.3006173,-0.3241709,-0.106438,0.8700137,0.01493871,-0.4533029,0.7775167,0.1232522,-0.298406,0.1238733,-0.2561884,-0.2262552,0.1925432,-0.3431481,TWO
-0.1654346,0.3029458,-0.3224126,-0.1033482,0.8710511,0.0110936,-0.4522764,0.776593,0.1275703,-0.2994235,0.117926,-0.2496288,-0.2281673,0.1851518,-0.338503,TWO
-0.1670013,0.3035866,-0.3221041,-0.1053633,0.870981,0.007987849,-0.453543,0.7755036,0.1296362,-0.2997577,0.1124593,-0.2452479,-0.2285357,0.178256,-0.3352081,TWO
-0.184992,0.2988353,-0.3207751,-0.1203736,0.8696442,-0.0007218164,-0.4606327,0.7695409,0.1329562,-0.3114878,0.09474587,-0.2225958,-0.2426659,0.1550929,-0.3203154,TWO
-0.1923867,0.29776,-0.3198254,-0.1295752,0.8681703,-0.0005777375,-0.4639684,0.7665669,0.136261,-0.3170922,0.08755354,-0.2089993,-0.249817,0.14536,-0.3110351,TWO
-0.1910751,0.2987483,-0.3203609,-0.1318242,0.8674688,0.0006483551,-0.4640309,0.7666947,0.136642,-0.3186384,0.08884764,-0.2061558,-0.2518034,0.1466264,-0.3096512,TWO
-0.1901025,0.3014122,-0.3172731,-0.1272539,0.8677459,0.01063009,-0.4634505,0.7650553,0.1442045,-0.3202821,0.09756157,-0.2069599,-0.2547106,0.1580979,-0.3104033,TWO
-0.1908494,0.2982746,-0.3176542,-0.1285975,0.867161,0.01232301,-0.4689838,0.7618007,0.1416566,-0.3190655,0.100837,-0.2099199,-0.2539804,0.1642713,-0.3127304,TWO
-0.1934377,0.2853696,-0.3220443,-0.1345649,0.8661219,0.001457377,-0.4753536,0.7620448,0.1234109,-0.3157902,0.1005894,-0.2141425,-0.2488896,0.1659602,-0.3158925,TWO
-0.1949582,0.2817155,-0.3222794,-0.1349013,0.8661129,0.001847907,-0.4740024,0.7635778,0.1254721,-0.3169026,0.1032785,-0.2147368,-0.2498893,0.1695875,-0.3160907,TWO
-0.1957431,0.2799866,-0.3224278,-0.1354224,0.8659548,0.002489627,-0.471813,0.7655396,0.1253494,-0.3172013,0.1038885,-0.2142641,-0.2493387,0.1695378,-0.3152864,TWO
-0.1941374,0.2788849,-0.3253506,-0.1333917,0.8662077,-0.004304358,-0.4681565,0.7688892,0.1199936,-0.31669,0.1028266,-0.2161544,-0.2487464,0.1674763,-0.3172637,TWO
-0.189763,0.2862734,-0.3236984,-0.1233463,0.8676842,0.00312329,-0.4604197,0.7715374,0.1326012,-0.3157735,0.1076454,-0.2181009,-0.2488729,0.1736469,-0.3183774,TWO
-0.1877247,0.2972753,-0.3187774,-0.1131545,0.8693731,0.01621504,-0.4525671,0.7722772,0.1505765,-0.3155154,0.1093083,-0.2170874,-0.2502292,0.1756817,-0.3167727,TWO
