pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
0.006830215,346.436,0.002600431,196.1641,-0.09180784,67.46132,-0.08864355,346.8633,0.04146063,251.4839,-0.04575777,348.5474,-0.1062908,355.2039,0.0350945,260.5402,-0.01516747,336.1051,-0.08433056,5.401714,0.0005230904,286.1823,0.04734063,318.0144,-0.1038275,357.4473,0.02237058,269.8552,0.01587772,329.8424,OPEN
0.02500534,292.1461,0.07726753,216.4163,-0.01063561,3.902306,-0.05443764,319.494,0.08594346,215.808,-0.03901935,296.2353,-0.07833862,327.0857,0.06580293,219.2525,-0.04792857,282.4588,-0.08142757,354.0623,-0.01169181,222.3719,-0.04658008,259.8233,-0.08795595,337.3703,0.03148234,221.9523,-0.04966998,274.4342,OPEN
0.03373384,305.8302,0.0659517,8.909877,0.04544771,194.6697,-0.05595064,302.6677,0.09195065,232.2893,-0.001264572,258.3018,-0.07753325,309.0962,0.07911789,226.447,-0.02274585,252.309,-0.06802654,327.8406,0.01917219,207.4838,-0.06327701,245.0428,-0.08057642,316.3256,0.05419624,218.3251,-0.04445887,252.4373,OPEN
0.04294586,313.7713,0.05574775,14.94558,0.05104923,190.4096,-0.05956697,306.6248,0.08388948,276.0595,0.03428698,217.7858,-0.08404779,307.791,0.07716346,259.5432,0.01025641,222.2419,-0.07851982,315.174,0.03551757,230.518,-0.04443145,229.6466,-0.08884335,309.5218,0.06113279,245.0016,-0.01720881,229.5633,OPEN
0.0445118,320.2809,0.05357695,16.43421,0.05201662,199.3294,-0.06053352,315.7044,0.07285523,294.9005,0.0561136,205.75,-0.08941174,316.5508,0.06616068,280.4096,0.03440213,208.0847,-0.08775377,313.5975,0.03538179,252.2209,-0.02487683,214.9668,-0.09679413,313.2246,0.05404449,266.0214,0.006042719,214.812,OPEN
0.04683542,326.292,0.05160737,19.47428,0.05335057,208.9074,-0.0575676,318.3392,0.06545508,302.9189,0.06906474,204.6958,-0.08900404,319.104,0.05758548,288.7964,0.05042171,205.6661,-0.09232473,315.0331,0.0317409,265.1385,-0.009905338,207.7391,-0.09912872,315.404,0.04603934,275.5365,0.02244949,210.6683,OPEN
0.05005217,325.0507,0.05268157,20.53018,0.0500083,221.6383,-0.05041027,318.9134,0.05975819,309.5536,0.07959747,207.0345,-0.08379889,320.2799,0.0511055,295.5991,0.06422758,206.2286,-0.0948019,321.89,0.02416992,276.6865,0.005275011,202.4524,-0.09622622,317.486,0.03973603,284.6636,0.03793025,208.4717,OPEN
0.05275536,315.5764,0.06074727,23.73074,0.03473759,234.4881,-0.03801346,314.6242,0.06890392,311.22,0.07946992,222.6973,-0.07148695,318.6849,0.05652034,300.2169,0.07386923,219.2347,-0.09339333,328.3147,0.01325035,285.1322,0.0266099,211.1952,-0.08749294,319.1901,0.03882909,291.6027,0.0549649,219.4754,OPEN
0.05031967,310.0797,0.06530261,21.56446,0.02340353,250.19,-0.02945948,317.6,0.07262027,318.5466,0.07998049,231.8748,-0.06116581,324.1717,0.05623782,310.1698,0.08312273,226.4829,-0.08815575,334.7509,0.004468799,291.7806,0.04351902,218.5182,-0.07926989,326.0244,0.03491032,301.134,0.06895816,226.3814,OPEN
0.03649807,294.1111,0.07635343,22.67885,-0.005030155,267.8808,-0.02021599,311.8156,0.08741784,321.206,0.06773353,254.2848,-0.04534912,321.1613,0.06793654,316.8937,0.08426452,246.0737,-0.07173157,338.8758,0.001222968,302.2016,0.06693661,234.7563,-0.06167841,326.9286,0.03981316,310.2542,0.08222282,244.3795,OPEN
